athlete_name,country,gender,course,year,date,place,finish_time_seconds
Kelvin Hailu #0382,BRA,M,berlin,2015,2015-09-27,1,7342
Eliud Kipchoge #0004,UGA,M,berlin,2015,2015-09-27,2,7343
Lelisa Abdi #0326,BRA,M,berlin,2015,2015-09-27,3,7359
Suguru Hailu #0194,MAR,M,berlin,2015,2015-09-27,4,7395
Lelisa Tola #0223,USA,M,berlin,2015,2015-09-27,5,7409
Bashir Farah #0134,KEN,M,berlin,2015,2015-09-27,6,7450
Mohamed Rupp #0253,KEN,M,berlin,2015,2015-09-27,7,7456
Kelvin Rotich #0151,TZA,M,berlin,2015,2015-09-27,8,7461
Jared Mutai #0336,ITA,M,berlin,2015,2015-09-27,9,7463
Kibrom Kipchoge #0345,ESP,M,berlin,2015,2015-09-27,10,7466
Lawrence Kiptum #0204,BLR,M,berlin,2015,2015-09-27,11,7472
Hiroto Rupp #0113,UGA,M,berlin,2015,2015-09-27,12,7478
Carlos Cherop #0333,ETH,M,berlin,2015,2015-09-27,13,7484
Bashir Hailu #0384,ITA,M,berlin,2015,2015-09-27,14,7484
Kenneth Desisa #0236,ETH,M,berlin,2015,2015-09-27,15,7490
Carlos Korir #0031,USA,M,berlin,2015,2015-09-27,16,7493
Yuki Hassan #0277,GBR,M,berlin,2015,2015-09-27,17,7506
Lawrence Desisa #0071,MAR,M,berlin,2015,2015-09-27,18,7508
Kibrom Fauble #0303,KEN,M,berlin,2015,2015-09-27,19,7513
Scott Cherono #0340,ERI,M,berlin,2015,2015-09-27,20,7516
Conner Hailu #0209,USA,M,berlin,2015,2015-09-27,21,7518
Galen Levins #0305,GER,M,berlin,2015,2015-09-27,22,7530
Lelisa Kiptum #0144,ETH,M,berlin,2015,2015-09-27,23,7534
Birhanu Bekele #0094,BHR,M,berlin,2015,2015-09-27,24,7536
Kenneth Sambu #0293,GER,M,berlin,2015,2015-09-27,25,7538
Hiroto Hassan #0021,ETH,M,berlin,2015,2015-09-27,26,7538
Lemi Levins #0001,UGA,M,berlin,2015,2015-09-27,27,7539
Yuki Levins #0142,JPN,M,berlin,2015,2015-09-27,28,7539
Lemi Hassan #0301,ETH,M,berlin,2015,2015-09-27,29,7540
Lelisa Desisa #0328,ERI,M,berlin,2015,2015-09-27,30,7552
Lelisa Hailu #0052,USA,M,berlin,2015,2015-09-27,31,7564
Eliud Mutai #0096,JPN,M,berlin,2015,2015-09-27,32,7565
Lemi Bett #0392,NOR,M,berlin,2015,2015-09-27,33,7565
Hiroto Geremew #0249,TZA,M,berlin,2015,2015-09-27,34,7566
Sondre Moen #0395,NOR,M,berlin,2015,2015-09-27,35,7566
Kibrom Cherop #0172,ETH,M,berlin,2015,2015-09-27,36,7566
Galen Fauble #0390,ESP,M,berlin,2015,2015-09-27,37,7567
Wilson Moen #0235,MAR,M,berlin,2015,2015-09-27,38,7574
Birhanu Moen #0120,CAN,M,berlin,2015,2015-09-27,39,7576
Ayele Cherono #0281,NED,M,berlin,2015,2015-09-27,40,7576
Tamirat Tola #0385,BLR,M,berlin,2015,2015-09-27,41,7578
Wilson Bett #0152,TZA,M,berlin,2015,2015-09-27,42,7579
Geoffrey Farah #0246,GER,M,berlin,2015,2015-09-27,43,7585
Scott Robinson #0195,NOR,M,berlin,2015,2015-09-27,44,7587
Eliud Geremew #0239,FRA,M,berlin,2015,2015-09-27,45,7588
Cam Levins #0377,GER,M,berlin,2015,2015-09-27,46,7589
Eliud Hailu #0360,USA,M,berlin,2015,2015-09-27,47,7593
Mohamed Cherop #0109,NOR,M,berlin,2015,2015-09-27,48,7595
Kenneth Kipsang #0037,ERI,M,berlin,2015,2015-09-27,49,7596
Galen Hassan #0106,NED,M,berlin,2015,2015-09-27,50,7599
Cam Kipchoge #0234,UGA,M,berlin,2015,2015-09-27,51,7601
Lawrence Levins #0017,GER,M,berlin,2015,2015-09-27,52,7601
Conner Adero #0020,GER,M,berlin,2015,2015-09-27,53,7604
Cam Adero #0009,BLR,M,berlin,2015,2015-09-27,54,7605
Geoffrey Bekele #0366,ITA,M,berlin,2015,2015-09-27,55,7607
Mosinet Sambu #0389,ETH,M,berlin,2015,2015-09-27,56,7609
Birhanu Cherono #0230,MAR,M,berlin,2015,2015-09-27,57,7611
Mosinet Cherono #0358,KEN,M,berlin,2015,2015-09-27,58,7611
Conner Moen #0128,ITA,M,berlin,2015,2015-09-27,59,7612
Tamirat Sambu #0348,GER,M,berlin,2015,2015-09-27,60,7616
Kenneth Kiptum #0228,NOR,M,berlin,2015,2015-09-27,61,7616
Mosinet Moen #0161,AUS,M,berlin,2015,2015-09-27,62,7616
Hiroto Abdi #0188,KEN,M,berlin,2015,2015-09-27,63,7620
Yuki Legese #0053,NED,M,berlin,2015,2015-09-27,64,7620
Mosinet Kiptum #0206,ETH,M,berlin,2015,2015-09-27,65,7622
Mo Kipsang #0072,CAN,M,berlin,2015,2015-09-27,66,7627
Ayele Robinson #0242,JPN,M,berlin,2015,2015-09-27,67,7628
Lelisa Desisa #0243,BLR,M,berlin,2015,2015-09-27,68,7630
Suguru Moen #0095,NOR,M,berlin,2015,2015-09-27,69,7635
Bashir Sambu #0179,USA,M,berlin,2015,2015-09-27,70,7635
Mohamed Lopes #0055,CAN,M,berlin,2015,2015-09-27,71,7636
Sisay Bekele #0104,CAN,M,berlin,2015,2015-09-27,72,7637
Kibrom Korir #0015,MAR,M,berlin,2015,2015-09-27,73,7639
Kibrom Cherop #0319,FRA,M,berlin,2015,2015-09-27,74,7640
Ayele Lemma #0214,NOR,M,berlin,2015,2015-09-27,75,7646
Kelvin Tola #0346,MAR,M,berlin,2015,2015-09-27,76,7648
Scott Abdi #0129,AUS,M,berlin,2015,2015-09-27,77,7649
Carlos Kiptum #0092,MAR,M,berlin,2015,2015-09-27,78,7650
Mo Robinson #0238,NOR,M,berlin,2015,2015-09-27,79,7659
Kelvin Levins #0005,MAR,M,berlin,2015,2015-09-27,80,7660
Jared Rupp #0070,GER,M,berlin,2015,2015-09-27,81,7662
Stephen Mutai #0127,ERI,M,berlin,2015,2015-09-27,82,7662
Suguru Mutai #0397,NOR,M,berlin,2015,2015-09-27,83,7663
Tamirat Bekele #0174,USA,M,berlin,2015,2015-09-27,84,7664
Tamirat Robinson #0084,ITA,M,berlin,2015,2015-09-27,85,7666
Lelisa Lemma #0060,CAN,M,berlin,2015,2015-09-27,86,7668
Lawrence Lemma #0315,BRA,M,berlin,2015,2015-09-27,87,7668
Mohamed Korir #0399,UGA,M,berlin,2015,2015-09-27,88,7668
Conner Fauble #0086,ITA,M,berlin,2015,2015-09-27,89,7670
Lemi Kandie #0100,MAR,M,berlin,2015,2015-09-27,90,7671
Birhanu Hailu #0261,CAN,M,berlin,2015,2015-09-27,91,7680
Conner Bett #0054,CAN,M,berlin,2015,2015-09-27,92,7682
Lelisa Cherop #0207,ETH,M,berlin,2015,2015-09-27,93,7688
Yuki Levins #0363,NED,M,berlin,2015,2015-09-27,94,7691
Mosinet Lemma #0329,ESP,M,berlin,2015,2015-09-27,95,7694
Ayele Kipsang #0131,BHR,M,berlin,2015,2015-09-27,96,7695
Carlos Cherop #0298,NED,M,berlin,2015,2015-09-27,97,7696
Scott Moen #0024,NED,M,berlin,2015,2015-09-27,98,7698
Mohamed Hassan #0284,NED,M,berlin,2015,2015-09-27,99,7698
Wilson Geremew #0135,KEN,M,berlin,2015,2015-09-27,100,7700
Peres Sisson #0234,ITA,W,berlin,2015,2015-09-27,1,7905
Vivian Jepchirchir #0175,AUS,W,berlin,2015,2015-09-27,2,7954
Tigist Dibaba #0188,USA,W,berlin,2015,2015-09-27,3,7964
Catherine Dereje #0231,POL,W,berlin,2015,2015-09-27,4,7975
Peres Sisson #0398,ESP,W,berlin,2015,2015-09-27,5,8006
Emily Seidel #0041,ETH,W,berlin,2015,2015-09-27,6,8009
Roza Dibaba #0145,ETH,W,berlin,2015,2015-09-27,7,8016
Molly Kiplagat #0192,RUS,W,berlin,2015,2015-09-27,8,8020
Molly Sisson #0090,KEN,W,berlin,2015,2015-09-27,9,8030
Brigid Tuliamuk #0325,BHR,W,berlin,2015,2015-09-27,10,8037
Peres Hassan #0027,ISR,W,berlin,2015,2015-09-27,11,8047
Mary Gidey #0390,BHR,W,berlin,2015,2015-09-27,12,8047
Emily Salpeter #0159,ESP,W,berlin,2015,2015-09-27,13,8053
Keira Reichmann #0379,NED,W,berlin,2015,2015-09-27,14,8069
Lilian Chepngetich #0357,RUS,W,berlin,2015,2015-09-27,15,8069
Joyciline Hall #0057,IRL,W,berlin,2015,2015-09-27,16,8071
Roza Hassan #0067,IRL,W,berlin,2015,2015-09-27,17,8076
Joyciline Jepchirchir #0298,CZE,W,berlin,2015,2015-09-27,18,8077
Sifan Chepngetich #0344,ROU,W,berlin,2015,2015-09-27,19,8079
Vivian Sisson #0291,POL,W,berlin,2015,2015-09-27,20,8081
Ruth Degefa #0170,BHR,W,berlin,2015,2015-09-27,21,8082
Tigist Hall #0003,ESP,W,berlin,2015,2015-09-27,22,8082
Sutume Hall #0318,CHN,W,berlin,2015,2015-09-27,23,8085
Hellen Kosgei #0383,CHN,W,berlin,2015,2015-09-27,24,8089
Mary Hassan #0149,ESP,W,berlin,2015,2015-09-27,25,8096
Brigid Hall #0129,POL,W,berlin,2015,2015-09-27,26,8097
Florence Jepchirchir #0308,AUS,W,berlin,2015,2015-09-27,27,8099
Eunice Chepkirui #0043,ROU,W,berlin,2015,2015-09-27,28,8099
Keira Frey #0176,AUS,W,berlin,2015,2015-09-27,29,8100
Tirunesh Kiplagat #0124,ISR,W,berlin,2015,2015-09-27,30,8101
Ruth Ayana #0335,GER,W,berlin,2015,2015-09-27,31,8102
Lonah Cheruiyot #0299,PRK,W,berlin,2015,2015-09-27,32,8110
Sifan Diver #0031,CZE,W,berlin,2015,2015-09-27,33,8110
Emily Gemechu #0197,CHN,W,berlin,2015,2015-09-27,34,8111
Keira Degefa #0104,JPN,W,berlin,2015,2015-09-27,35,8112
Vivian Gemechu #0121,GBR,W,berlin,2015,2015-09-27,36,8113
Tigist Gidey #0158,ESP,W,berlin,2015,2015-09-27,37,8113
Ruth Dereje #0262,PRK,W,berlin,2015,2015-09-27,38,8116
Aliphine Dereje #0088,ETH,W,berlin,2015,2015-09-27,39,8121
Roza Hassan #0032,CHN,W,berlin,2015,2015-09-27,40,8123
Molly Kiplagat #0233,ROU,W,berlin,2015,2015-09-27,41,8124
Yalemzerf Dereje #0180,GBR,W,berlin,2015,2015-09-27,42,8124
Florence Chepkirui #0146,JPN,W,berlin,2015,2015-09-27,43,8127
Tigist Seidel #0264,IRL,W,berlin,2015,2015-09-27,44,8128
Emily Kiplagat #0276,GER,W,berlin,2015,2015-09-27,45,8129
Yalemzerf Diver #0030,CZE,W,berlin,2015,2015-09-27,46,8133
Vivian Yehualaw #0241,CHN,W,berlin,2015,2015-09-27,47,8134
Sara Cheruiyot #0249,GBR,W,berlin,2015,2015-09-27,48,8135
Sara Dibaba #0042,KEN,W,berlin,2015,2015-09-27,49,8141
Worknesh Seidel #0091,PRK,W,berlin,2015,2015-09-27,50,8141
Catherine Sisson #0151,GBR,W,berlin,2015,2015-09-27,51,8141
Tirunesh Hassan #0223,CZE,W,berlin,2015,2015-09-27,52,8142
Tigist Yehualaw #0232,KEN,W,berlin,2015,2015-09-27,53,8151
Worknesh Assefa #0244,ROU,W,berlin,2015,2015-09-27,54,8156
Molly Ndereba #0054,GER,W,berlin,2015,2015-09-27,55,8159
Sifan Cheruiyot #0315,ISR,W,berlin,2015,2015-09-27,56,8165
Keira Salpeter #0322,GER,W,berlin,2015,2015-09-27,57,8167
Worknesh Keitany #0316,ISR,W,berlin,2015,2015-09-27,58,8167
Lonnie Reichmann #0310,PRK,W,berlin,2015,2015-09-27,59,8171
Almaz Gemechu #0280,PRK,W,berlin,2015,2015-09-27,60,8173
Tirunesh Gemechu #0272,AUS,W,berlin,2015,2015-09-27,61,8174
Molly Seidel #0339,ESP,W,berlin,2015,2015-09-27,62,8175
Sara Reichmann #0177,GER,W,berlin,2015,2015-09-27,63,8177
Lilian Yehualaw #0103,PRK,W,berlin,2015,2015-09-27,64,8177
Eunice Ayana #0217,ITA,W,berlin,2015,2015-09-27,65,8183
Sinead Frey #0364,AUS,W,berlin,2015,2015-09-27,66,8183
Lonnie Gemechu #0235,IRL,W,berlin,2015,2015-09-27,67,8183
Lonah Obiri #0202,CHN,W,berlin,2015,2015-09-27,68,8184
Sara Asefa #0348,ITA,W,berlin,2015,2015-09-27,69,8187
Aliphine DAmato #0327,BHR,W,berlin,2015,2015-09-27,70,8187
Lonah Hall #0369,CZE,W,berlin,2015,2015-09-27,71,8190
Eunice Obiri #0081,GER,W,berlin,2015,2015-09-27,72,8191
Lilian Degefa #0164,AUS,W,berlin,2015,2015-09-27,73,8193
Lilian Frey #0139,RUS,W,berlin,2015,2015-09-27,74,8198
Mary Cheruiyot #0071,NED,W,berlin,2015,2015-09-27,75,8198
Tirunesh Gidey #0141,ITA,W,berlin,2015,2015-09-27,76,8200
Sara Seidel #0374,CAN,W,berlin,2015,2015-09-27,77,8201
Sinead Cheruiyot #0082,CZE,W,berlin,2015,2015-09-27,78,8202
Lonah Diver #0214,JPN,W,berlin,2015,2015-09-27,79,8204
Almaz Diver #0366,KEN,W,berlin,2015,2015-09-27,80,8204
Worknesh Diver #0061,GBR,W,berlin,2015,2015-09-27,81,8207
Hiwot Frey #0266,RUS,W,berlin,2015,2015-09-27,82,8210
Almaz Kiplagat #0309,BHR,W,berlin,2015,2015-09-27,83,8214
Sutume Obiri #0089,CAN,W,berlin,2015,2015-09-27,84,8216
Yalemzerf Hassan #0182,NED,W,berlin,2015,2015-09-27,85,8217
Roza Dibaba #0292,KEN,W,berlin,2015,2015-09-27,86,8218
Peres Sisson #0303,AUS,W,berlin,2015,2015-09-27,87,8222
Aliphine Hassan #0313,KEN,W,berlin,2015,2015-09-27,88,8222
Hellen Dibaba #0221,POL,W,berlin,2015,2015-09-27,89,8223
Lonnie Ndereba #0018,ROU,W,berlin,2015,2015-09-27,90,8225
Roza Diver #0361,ETH,W,berlin,2015,2015-09-27,91,8230
Lonnie DAmato #0269,CAN,W,berlin,2015,2015-09-27,92,8240
Mary Ndereba #0107,RUS,W,berlin,2015,2015-09-27,93,8241
Emily Jepchirchir #0283,ITA,W,berlin,2015,2015-09-27,94,8242
Aliphine Sisson #0338,USA,W,berlin,2015,2015-09-27,95,8244
Emily Hassan #0387,JPN,W,berlin,2015,2015-09-27,96,8249
Eunice Seidel #0092,ITA,W,berlin,2015,2015-09-27,97,8251
Keira Asefa #0224,CHN,W,berlin,2015,2015-09-27,98,8253
Lilian Yehualaw #0049,RUS,W,berlin,2015,2015-09-27,99,8253
Sifan Gidey #0347,CHN,W,berlin,2015,2015-09-27,100,8254
Bashir Farah #0134,KEN,M,berlin,2016,2016-09-25,1,7429
Kenneth Desisa #0236,ETH,M,berlin,2016,2016-09-25,2,7444
Yuki Levins #0142,JPN,M,berlin,2016,2016-09-25,3,7447
Scott Cherono #0340,ERI,M,berlin,2016,2016-09-25,4,7453
Sisay Kipsang #0257,FRA,M,berlin,2016,2016-09-25,5,7473
Jared Cherop #0032,CAN,M,berlin,2016,2016-09-25,6,7478
Ayele Cherono #0281,NED,M,berlin,2016,2016-09-25,7,7484
Eliud Mutai #0096,JPN,M,berlin,2016,2016-09-25,8,7492
Eliud Kipchoge #0004,UGA,M,berlin,2016,2016-09-25,9,7495
Mohamed Kipsang #0364,GBR,M,berlin,2016,2016-09-25,10,7513
Lelisa Geremew #0007,ITA,M,berlin,2016,2016-09-25,11,7518
Brett Hassan #0058,GER,M,berlin,2016,2016-09-25,12,7522
Birhanu Cherono #0230,MAR,M,berlin,2016,2016-09-25,13,7523
Wilson Geremew #0135,KEN,M,berlin,2016,2016-09-25,14,7527
Carlos Korir #0031,USA,M,berlin,2016,2016-09-25,15,7536
Cam Levins #0377,GER,M,berlin,2016,2016-09-25,16,7537
Ayele Robinson #0242,JPN,M,berlin,2016,2016-09-25,17,7539
Lemi Robinson #0160,BLR,M,berlin,2016,2016-09-25,18,7539
Bashir Ward #0099,BRA,M,berlin,2016,2016-09-25,19,7539
Kelvin Fauble #0352,UGA,M,berlin,2016,2016-09-25,20,7540
Birhanu Hailu #0261,CAN,M,berlin,2016,2016-09-25,21,7542
Bashir Hailu #0384,ITA,M,berlin,2016,2016-09-25,22,7542
Conner Bett #0240,NOR,M,berlin,2016,2016-09-25,23,7543
Cam Adero #0009,BLR,M,berlin,2016,2016-09-25,24,7543
Hiroto Abdi #0188,KEN,M,berlin,2016,2016-09-25,25,7552
Ayele Ward #0042,UGA,M,berlin,2016,2016-09-25,26,7556
Mosinet Sambu #0389,ETH,M,berlin,2016,2016-09-25,27,7559
Mohamed Hassan #0284,NED,M,berlin,2016,2016-09-25,28,7559
Birhanu Moen #0120,CAN,M,berlin,2016,2016-09-25,29,7565
Suguru Moen #0095,NOR,M,berlin,2016,2016-09-25,30,7567
