athlete_name,gender,course_a,year_a,time_a,course_b,year_b,time_b,delta_seconds,months_between
Aliphine Ayana #0062,W,tokyo,2015,7825,boston,2015,8220,395,1.87
Aliphine Ayana #0062,W,tokyo,2015,7825,london,2015,7977,152,2.07
Aliphine Ayana #0062,W,tokyo,2015,7825,nyc,2015,8116,291,8.28
Aliphine Ayana #0062,W,tokyo,2015,7825,boston,2016,8201,376,13.83
Aliphine Ayana #0062,W,tokyo,2015,7825,london,2016,8116,291,14.03
Aliphine Ayana #0062,W,boston,2015,8220,london,2015,7977,-243,0.2
Aliphine Ayana #0062,W,boston,2015,8220,nyc,2015,8116,-104,6.41
Aliphine Ayana #0062,W,boston,2015,8220,tokyo,2016,7936,-284,10.32
Aliphine Ayana #0062,W,boston,2015,8220,london,2016,8116,-104,12.16
Aliphine Ayana #0062,W,boston,2015,8220,berlin,2016,8103,-117,17.21
Aliphine Ayana #0062,W,boston,2015,8220,chicago,2016,8131,-89,17.67
Aliphine Ayana #0062,W,london,2015,7977,nyc,2015,8116,139,6.21
Aliphine Ayana #0062,W,london,2015,7977,tokyo,2016,7936,-41,10.12
Aliphine Ayana #0062,W,london,2015,7977,boston,2016,8201,224,11.76
Aliphine Ayana #0062,W,london,2015,7977,berlin,2016,8103,126,17.02
Aliphine Ayana #0062,W,london,2015,7977,chicago,2016,8131,154,17.48
Aliphine Ayana #0062,W,nyc,2015,8116,tokyo,2016,7936,-180,3.91
Aliphine Ayana #0062,W,nyc,2015,8116,boston,2016,8201,85,5.55
Aliphine Ayana #0062,W,nyc,2015,8116,london,2016,8116,0,5.75
Aliphine Ayana #0062,W,nyc,2015,8116,berlin,2016,8103,-13,10.81
Aliphine Ayana #0062,W,nyc,2015,8116,chicago,2016,8131,15,11.27
Aliphine Ayana #0062,W,nyc,2015,8116,tokyo,2017,8071,-45,15.87
Aliphine Ayana #0062,W,tokyo,2016,7936,boston,2016,8201,265,1.64
Aliphine Ayana #0062,W,tokyo,2016,7936,london,2016,8116,180,1.84
Aliphine Ayana #0062,W,tokyo,2016,7936,berlin,2016,8103,167,6.9
Aliphine Ayana #0062,W,tokyo,2016,7936,chicago,2016,8131,195,7.36
Aliphine Ayana #0062,W,boston,2016,8201,london,2016,8116,-85,0.2
Aliphine Ayana #0062,W,boston,2016,8201,berlin,2016,8103,-98,5.26
Aliphine Ayana #0062,W,boston,2016,8201,chicago,2016,8131,-70,5.72
Aliphine Ayana #0062,W,boston,2016,8201,tokyo,2017,8071,-130,10.32
Aliphine Ayana #0062,W,boston,2016,8201,berlin,2017,8271,70,17.21
Aliphine Ayana #0062,W,boston,2016,8201,chicago,2017,8295,94,17.67
Aliphine Ayana #0062,W,london,2016,8116,berlin,2016,8103,-13,5.06
Aliphine Ayana #0062,W,london,2016,8116,chicago,2016,8131,15,5.52
