course,year,date,start_temp_c,start_humidity,start_dewpoint_c,start_wind_kph,conditions_note
berlin,2015,2015-09-27,14.0,70,8.0,12,optimal
berlin,2016,2016-09-25,15.0,65,8.0,10,optimal
berlin,2017,2017-09-24,13.0,90,11.0,18,humid
berlin,2018,2018-09-16,15.0,65,8.0,12,optimal_kipchoge_WR
berlin,2019,2019-09-29,12.0,80,8.0,10,optimal
berlin,2021,2021-09-26,14.0,65,7.0,12,optimal
berlin,2022,2022-09-25,18.0,55,8.0,10,warm_kipchoge_WR
berlin,2023,2023-09-24,15.0,60,7.0,8,optimal_assefa_WR
berlin,2024,2024-09-29,14.0,65,7.0,10,optimal
boston,2015,2015-04-20,5.0,75,1.0,25,cold_rain
boston,2016,2016-04-18,16.0,55,7.0,15,warm
boston,2017,2017-04-17,22.0,50,10.0,18,warm_humid
boston,2018,2018-04-16,3.9,95,3.0,40,driving_rain
boston,2019,2019-04-15,10.0,80,6.0,18,mild_humid
boston,2021,2021-10-11,12.0,65,5.0,14,fall_race
boston,2022,2022-04-18,12.0,70,6.0,16,mild
boston,2023,2023-04-17,15.0,75,10.0,20,warm_rain
boston,2024,2024-04-15,10.0,60,4.0,12,optimal
chicago,2015,2015-10-11,12.0,65,5.0,14,optimal
chicago,2016,2016-10-09,12.0,75,7.0,18,optimal_humid
chicago,2017,2017-10-08,14.0,80,10.0,14,warm
chicago,2018,2018-10-07,11.0,80,7.0,16,mild
chicago,2019,2019-10-13,14.0,70,8.0,12,optimal
chicago,2021,2021-10-10,16.0,60,8.0,10,warm
chicago,2022,2022-10-09,15.0,55,5.0,12,optimal
chicago,2023,2023-10-08,11.0,70,5.0,12,optimal
chicago,2024,2024-10-13,12.0,65,5.0,12,optimal
london,2015,2015-04-26,10.0,75,5.0,12,optimal
london,2016,2016-04-24,12.0,70,6.0,14,optimal
london,2017,2017-04-23,12.0,65,5.0,18,mild_windy
london,2018,2018-04-22,23.5,50,12.0,16,hot_record_heat
london,2019,2019-04-28,16.0,60,8.0,14,warm
london,2021,2021-10-03,12.0,75,7.0,12,autumn
london,2022,2022-10-02,12.0,70,6.0,14,autumn
london,2023,2023-04-23,10.0,70,4.0,12,optimal
london,2024,2024-04-21,13.0,65,6.0,14,mild
nyc,2015,2015-11-01,10.0,70,4.0,18,cold_windy
nyc,2016,2016-11-06,13.0,60,5.0,16,mild
nyc,2017,2017-11-05,16.0,55,7.0,14,warm
nyc,2018,2018-11-04,11.0,60,3.0,15,mild
nyc,2019,2019-11-03,12.0,55,3.0,16,mild_windy
nyc,2021,2021-11-07,14.0,50,4.0,12,optimal
nyc,2022,2022-11-06,16.0,55,7.0,14,warm
nyc,2023,2023-11-05,11.0,65,4.0,14,mild
nyc,2024,2024-11-03,13.0,60,5.0,12,mild
tokyo,2015,2015-02-22,10.0,50,0.0,10,cool
tokyo,2016,2016-02-28,8.0,55,0.0,12,cool
tokyo,2017,2017-02-26,9.0,50,-1.0,14,cool
tokyo,2018,2018-02-25,10.0,70,5.0,16,mild_rain
tokyo,2019,2019-03-03,8.0,60,1.0,18,cool_windy
tokyo,2021,2021-10-17,16.0,60,8.0,8,warm_fall
tokyo,2022,2022-03-06,8.0,50,-1.0,10,cool
tokyo,2023,2023-03-05,9.0,55,0.0,12,cool
tokyo,2024,2024-03-03,11.0,60,3.0,10,optimal
